Peak,N
(-)-Aristolene,1
.(-)-β-Elemene,10
.4-Oxoisophorone,1
.β-cis-Ocimene,1
.β-Cubebene,1
.β-Elemen,1
".β-Elemene, (-)-",2
.β-Selinene,2
: 3-Hexen-1-ol benzoate,1
: γ-Elemene,1
"1-Butanol, 3-methyl-, benzoate",4
"1-Pentanol, 2-ethyl-4-methyl-",1
"1,3,6-Octatriene, 3,7-dimethyl-, (Z)-",3
"1,4-Benzenediol, 2-methoxy-",1
"1,6-Octadien-3-ol, 3,7-dimethyl-",1
2-Amino-1-phenylethanol,4
"2-Propen-1-ol, 3-phenyl-",4
"2-Propen-1-ol, 3-phenyl-, acetate",1
"2-Propenal, 3-phenyl-",1
3-Hexen-1-ol,2
3-Hexen-1-ol benzoate,4
"3-Hexen-1-ol, acetate, (E)-",1
"3-Hexen-1-ol, acetate, (Z)-",1
"3-Hexen-1-ol, benzoate, (Z)-",2
"3-Phenyl-1-propanol, acetate",3
4-Oxoisophorone,4
5-Bromo-1-hexene,3
Acetic acid,1
"Acetic acid, 2-phenylethyl ester",2
"Acetic acid, chloro-, 3-phenylpropyl ester",1
Allo-Ocimene,1
"Anisole, 2-isopropyl-5-methyl-",1
Benzaldehyde,3
"Benzaldehyde, 3-methoxy-",1
"Benzaldehyde, 4-methoxy-",4
"Benzene, (1-butylheptyl)-",1
"Benzene, 1-methoxy-2-methyl-",1
"Benzene, 4-ethenyl-1,2-dimethyl-",1
"Benzenemethanol, 4-methoxy-",1
Benzenepropanal,2
Benzenepropanol,2
"Benzenepropanol, 4-methoxy-",1
"Benzoic acid, 2-hydroxy-, 3-methylbutyl ester",2
"Benzoic acid, 2-phenylethyl ester",4
"Benzoic acid, 3,4-dimethoxy-, methyl ester",1
"Benzoic acid, hexyl ester",1
Benzophenone,4
Benzothiazole,1
Benzyl alcohol,1
Benzyl Alcohol,5
Benzyl benzoate,1
Benzyl Benzoate,4
Benzyl tiglate,4
Bergamotene,1
"Butanoic acid, 3-methyl-, 2-phenylethyl ester",3
Caryophyllene,17
Caryophyllene oxide,4
CINNAMALDEHYDE,1
"Cinnamaldehyde, (E)-",2
cis-3-Hexenyl Benzoate,3
cis-3-Hexenyl isovalerate,1
cis-Jasmone,7
cis-β-Ocimene,2
Copaene,5
Elemene derivative,2
Elixene,1
Eucalyptol,8
Eugenol,2
Geranyl acetone,1
Germacrene D,7
Hexanoic acid,1
Jasmine lactone,3
Lilac alcohol A,2
Lilac alcohol B,8
Lilac alcohol C,4
Lilac alcohol D,5
Linalool,7
Methyl salicylate,8
Nonanoic acid,3
Octanoic Acid,1
"Oxalic acid, 2-isopropylphenyl pentyl ester",1
"Oxime-, methoxy-phenyl-_",1
P-cymene,1
"Phenol, 2-methoxy-4-(2-propenyl)-, acetate",1
Phenylethyl Alcohol,7
Sabinene,2
Squalene,3
Valeric acid,1
"Valeric acid, 3-methylphenyl ester",1
"Vanillin, tert-butyldimethylsilyl ether",1
Vinylcyclohexyl ether,1
α-Caryophyllene,13
α-Cubebene,6
α-Ethylstyrene,1
α-Farnesene,9
α-Phellandrene,2
α-Selinene,1
α-Thujene,1
β-cis-Ocimene,7
β-Cubebene,7
β-Cymene,2
β-Farnesene,6
β-Ocimene,1
β-Phellandrene,3
β-Selinene,1
β-trans-Ocimene,1
γ-Elemene,4
δ-Elemene,1
